season,team,conference,wins,losses,ties,win_pct,made_playoffs,super_bowl_appearance,super_bowl_win
2015,Cowboys,NFC,4,12,0,25,0,0,0
2016,Cowboys,NFC,13,3,0,81,1,0,0
2017,Cowboys,NFC,9,7,0,56,0,0,0
2018,Cowboys,NFC,10,6,0,63,1,0,0
2019,Cowboys,NFC,8,8,0,50,0,0,0
2020,Cowboys,NFC,6,10,0,38,0,0,0
2021,Cowboys,NFC,12,5,0,71,1,0,0
2022,Cowboys,NFC,12,5,0,71,1,0,0
2023,Cowboys,NFC,12,5,0,71,1,0,0
2024,Cowboys,NFC,7,10,0,41,0,0,0
2015,Chiefs,AFC,11,5,0,69,1,0,0
2016,Chiefs,AFC,12,4,0,75,1,0,0
2017,Chiefs,AFC,9,7,0,56,0,0,0
2018,Chiefs,AFC,12,4,0,75,1,1,0
2019,Chiefs,AFC,12,4,0,75,1,1,1
2020,Chiefs,AFC,14,2,0,88,1,1,1
2021,Chiefs,AFC,12,5,0,71,1,0,0
2022,Chiefs,AFC,14,3,0,82,1,1,1
2023,Chiefs,AFC,11,6,0,65,1,1,1
2024,Chiefs,AFC,15,2,0,88,1,1,1
2015,Patriots,AFC,12,4,0,75,1,1,0
2016,Patriots,AFC,14,2,0,88,1,1,1
2017,Patriots,AFC,13,3,0,81,1,1,0
2018,Patriots,AFC,11,5,0,69,1,1,1
2019,Patriots,AFC,12,4,0,75,1,0,0
2020,Patriots,AFC,7,9,0,44,0,0,0
2021,Patriots,AFC,10,7,0,59,1,0,0
2022,Patriots,AFC,8,9,0,47,0,0,0
2023,Patriots,AFC,4,13,0,24,0,0,0
2024,Patriots,AFC,4,13,0,24,0,0,0
2015,Eagles,NFC,7,9,0,44,0,0,0
2016,Eagles,NFC,7,9,0,44,0,0,0
2017,Eagles,NFC,13,3,0,81,1,1,1
2018,Eagles,NFC,9,7,0,56,1,0,0
2019,Eagles,NFC,9,7,0,56,1,0,0
2020,Eagles,NFC,4,11,1,28,0,0,0
2021,Eagles,NFC,9,8,0,53,1,0,0
2022,Eagles,NFC,14,3,0,82,1,1,0
2023,Eagles,NFC,11,6,0,65,1,0,0
2024,Eagles,NFC,13,4,0,76,1,1,1
2015,Steelers,AFC,10,6,0,63,1,0,0
2016,Steelers,AFC,11,5,0,69,1,0,0
2017,Steelers,AFC,13,3,0,81,1,0,0
2018,Steelers,AFC,9,6,1,59,1,0,0
2019,Steelers,AFC,8,8,0,50,0,0,0
2020,Steelers,AFC,12,4,0,75,1,0,0
2021,Steelers,AFC,9,7,1,56,1,0,0
2022,Steelers,AFC,9,8,0,53,1,0,0
2023,Steelers,AFC,10,7,0,59,1,0,0
2024,Steelers,AFC,10,7,0,59,1,0,0
2015,Packers,NFC,10,6,0,63,1,0,0
2016,Packers,NFC,10,6,0,63,1,0,0
2017,Packers,NFC,7,9,0,44,0,0,0
2018,Packers,NFC,6,9,1,41,0,0,0
2019,Packers,NFC,13,3,0,81,1,0,0
2020,Packers,NFC,13,3,0,81,1,0,0
2021,Packers,NFC,13,4,0,76,1,0,0
2022,Packers,NFC,8,9,0,47,0,0,0
2023,Packers,NFC,9,8,0,53,1,0,0
2024,Packers,NFC,11,6,0,65,1,0,0
